lat,lon,title,type,link 
54.38,18.63,Swojska (N/Ż),Autobus,
54.38,18.63,Swojska (N/Ż),Autobus,
54.39,18.65,Polsat Plus Arena Gdańsk,Autobus,
54.39,18.65,Polsat Plus Arena Gdańsk,Autobus,
54.39,18.66,Śnieżna (N/Ż),Autobus,
54.42,18.48,Jednorożca,Autobus,
54.42,18.48,Jednorożca,Autobus,
54.43,18.48,Sopocka,Autobus,
54.38,18.6,Galeria Bałtycka,Autobus,
54.35,18.6,Emaus,Autobus,
54.38,18.6,Galeria Bałtycka,Autobus,
54.35,18.6,Emaus,Autobus,
54.38,18.6,Galeria Bałtycka,Autobus,
54.39,18.59,Wojska Polskiego,Autobus,
54.39,18.62,Kościuszki,Autobus,
54.39,18.62,Kościuszki (N/Ż),Autobus,
54.4,18.59,Kołobrzeska,Autobus,
54.4,18.59,Kołobrzeska,Autobus,
54.37,18.52,Majora Słabego,Autobus,
54.37,18.52,Złota Karczma,Autobus,
54.27,18.63,Pruszcz Rondo Kaszubskie,Autobus,
54.26,18.64,Pruszcz Wojska Polskiego,Autobus,
54.35,18.67,Mostek ,Autobus,
54.37,18.62,Opera Bałtycka,Autobus,
54.37,18.62,Opera Bałtycka,Autobus,
54.38,18.62,Teatr Miniatura / Radio Gdańsk,Autobus,
54.38,18.62,Teatr Miniatura / Radio Gdańsk,Autobus,
54.38,18.61,Jaśkowa Dolina,Autobus,
54.38,18.61,Jaśkowa Dolina,Autobus,
54.4,18.67,Plac Wolności,Autobus,
54.36,18.5,Montażystów (N/Ż),Autobus,
54.43,18.48,Sopocka,Autobus,
54.4,18.62,Aleja Płażyńskiego,Autobus,
54.32,18.62,Krzemowa,Autobus,
54.44,18.45,Myśliborska,Autobus,
54.44,18.46,Iławska,Autobus,
54.36,18.5,Św. Brata Alberta,Autobus,
54.35,18.51,Maciejkowa,Autobus,
54.35,18.51,Karczemki Szkoła,Autobus,
54.35,18.51,Karczemki,Autobus,
54.42,18.6,Jelitkowo,Autobus,
54.42,18.6,Jelitkowo,Autobus,
54.42,18.6,Jelitkowo Kapliczna,Autobus,
54.42,18.6,Jelitkowo Kapliczna,Autobus,
54.43,18.56,3 Maja,Autobus,
54.42,18.46,Konkordii (N/Ż),Autobus,
54.42,18.46,Konkordii (N/Ż),Autobus,
